#      |       Datetime      |      methodname      |      username      |       token      |      method's response
------------------------------------------------------------------------------------------------------------------------------------------
0   |   Thu Nov 03 17:44:21 CET 2022   |   print     |   null   |   null   |   User is not authenticated. Please log in
39   |   Sun Nov 13 06:58:02 CET 2022   |   start     |   David   |   8u8XOkUFGFY0huycbQNUmF9Pn23VvZ3u   |   Print service is running
40   |   Sun Nov 13 07:05:37 CET 2022   |   login     |   David:user2   |   iMUY_P-W9_-ApDWYwMk5g7BGwubjanjj   |   Logged in successfully
41   |   Sun Nov 13 07:05:41 CET 2022   |   start     |   David   |   iMUY_P-W9_-ApDWYwMk5g7BGwubjanjj   |   Service is already running
42   |   Sun Nov 13 07:05:43 CET 2022   |   stop      |   David   |   iMUY_P-W9_-ApDWYwMk5g7BGwubjanjj   |   Print service is stopped
43   |   Sun Nov 13 08:37:07 CET 2022   |   login     |   David:user2   |   rgvnXt4WYNbNj8fXt7cc7dZ9KFJRuO8R   |   Logged in successfully
44   |   Sun Nov 13 08:37:10 CET 2022   |   start     |   David   |   rgvnXt4WYNbNj8fXt7cc7dZ9KFJRuO8R   |   Service is already running
45   |   Sun Nov 13 08:37:13 CET 2022   |   stop      |   David   |   rgvnXt4WYNbNj8fXt7cc7dZ9KFJRuO8R   |   Print service is stopped
46   |   Sun Nov 13 08:37:24 CET 2022   |   login     |   Alice:admin   |   BeK8TAFQcfUhhw68DwUkIGpmdwxhSWMl   |   Logged in successfully
47   |   Sun Nov 13 08:37:30 CET 2022   |   start     |   Alice   |   BeK8TAFQcfUhhw68DwUkIGpmdwxhSWMl   |   Print service is running
48   |   Sun Nov 13 08:37:32 CET 2022   |   stop      |   Alice   |   BeK8TAFQcfUhhw68DwUkIGpmdwxhSWMl   |   Print service is stopped
49   |   Wed Nov 16 16:02:22 CET 2022   |   login     |   Alice:admin   |   5RtJPc3qbhABNKGbfK2__K0diHatu9k0   |   Logged in successfully
50   |   Wed Nov 16 16:06:18 CET 2022   |   login     |   Alice:admin   |   kw7NtElNfWjmg0OX0Y2Zp7uC9P7qDPEF   |   Logged in successfully
51   |   Wed Nov 16 16:06:27 CET 2022   |   login     |   David:user2   |   kpzZTL6ZA4nez0wwnhwfDMNFtdXI3_YL   |   Logged in successfully
52   |   Wed Nov 16 16:06:52 CET 2022   |   print     |   David   |   kpzZTL6ZA4nez0wwnhwfDMNFtdXI3_YL   |   'filename1' is printed at 'printer1
